# NightLife Skopje — Instagram usernames whose posts are scraped and media saved to Cloudinary.
# One row per account. Columns (pipe-separated):
#   username | last_scraped_at_utc | next_rescrape_due_utc
# Leave last/next empty until the first successful scrape. The scraper updates these automatically.
# Rescrape: allowed when current UTC time is >= next_rescrape_due (or use --force).
#
tribecabar |  | 
casa_cubana |  | 
klub1212 |  | 
skopskimerak |  | 
gradskakafeanadvor |  | 
izlet_kafe |  | 
clubmarakana |  | 
gostilnicaskarabar |  | 
kaldrma_ |  | 
vangogh.bar |  | 
dosie_skopje |  | 
_badu_bar |  | 
